Term	Frequency
1965-2013		1
lito		1
crisostomo		1
keyboardists		1
llacar		1
empalmado		1
lejeunethe		1
kapayapaan		1
bilog		1
naman		1
ang		1
buwan		1
alaalathe		1
gamboas		1
amparo		1
kalayaan		1
taxicab		1
zenki		1
ibatuan		1
lacano		1
frontmen		1
oca		1
belacho		1
hegalong		1
potato-stamped		1
sleeve		1
cyclonesship		1
landfriction		1
30%in		1
beenie		1
bossman		1
paultropical		1
center–		1
supertall		1
60.6kmh		1
chinaconstruction		1
mediataipei		1
ownertaipei		1
half-kilometer		1
buildingupon		1
509.2m		1
1,671ft		1
451.9m		1
449.2m		1
1,474ft		1
439.2m		1
1,441ft		1
442m		1
1,450ft		1
412.4m		1
1,353ft		1
85-story		1
347.5m		1
1,140ft		1
tuntex		1
51-story		1
244.15m		1
801ft		1
clockvarious		1
508m		1
1,667ft		1
448m		1
1,470ft		1
438m		1
1,437ft		1
ctbuh		1
57.3m		1
188ft		1
829.8m		1
2,722ft		1
burjtaipei		1
197fts		1
216kmh		1
134mph		1
2,500-year		1
cycletaipei		1
enlarging		1
geologythe		1
linetaipei		1
10,000psi		1
69mpa		1
eight-floor		1
exteriorthese		1
solidity		1
262ft		1
1,000–1,320		1
1,100–1,460		1
6.8-magnitude		1
resumedrwdi		1
nt$132million		1
us$4million		1
sways		1
4.92in		1
dampers		1
soudelor		1
39in–		1
damperthe		1
sanrio		1
all-ages		1
websitetaipei		1
paned		1
moment-resisting		1
lattices		1
chamfered		1
cy		1
tinted		1
otherstaipei		1
1-01		1
perfection		1
evokes		1
fortunethe		1
take-out		1
stackable		1
1-0-1		1
yangcurled		1
plainly		1
talisman		1
connotes		1
tallat		1
gleam		1
sheartaipei		1
songlian		1
chitaipei		1
recreationthe		1
gigabit		1
double-deck		1
telc		1
60.6		1
37.7mi		1
16.83m		1
55.22ft		1
1010		1
mmin		1
45.0kmh		1
28.0mih		1
89th-floor		1
state-of-the		1
triple-stage		1
anti-overshooting		1
nt$80million		1
us$2.4milliona		1
floorstwo		1
85th		1
tonys		1
yeh		1
taiwanese-style		1
86th		1
ding		1
nt		1
clubaccess		1
93rd		1
93-101		1
101f		1
101mf		1
60-metre		1
r24		1
ladderthe		1
91st-floor		1
leasedprivate		1
790f		1
topmost		1
receivingsignaling		1
website4		1
42a		1
numberthere		1
b5		1
floora		1
supporttaipei		1
360-degree		1
383.4m		1
1,258ft		1
391.8m		1
1,285ft		1
900am–1000pm		1
nt$500		1
us$17		1
elevatormany		1
indianas		1
moscovicis		1
claret		1
pus		1
watsons		1
hsiangs		1
ping-huang		1
po-lin		1
photographyplanning		1
shui-bians		1
66-story		1
taipeis		1
expat		1
2000a		1
weektaipei		1
shui-bian		1
jin-pyng		1
a-mei		1
stefanie		1
yearimportant		1
followingtaipei		1
theseon		1
emc2		1
enlightens		1
lauderon		1
climber		1
alain		1
baumgartner		1
2,046		1
crake		1
mayr		1
dold		1
gasperi		1
fu-tsai		1
hsiao-yu		1
2004–2006		1
darkened		1
tfcc		1
double-pane		1
nt$60million		1
us$1.8million		1
leach		1
ecotech		1
platinum-degree		1
energy-saving		1
nt$36		1
us$1.2		1
anti-lebanon		1
post-classical		1
timesduring		1
valencian		1
al-andalus		1
saracens		1
ruffino		1
turkisharabic		1
kashmiri		1
timesclassical		1
422		1
abjad		1
orthographyarabic		1
languagesall		1
arabicincludethere		1
unattested		1
proto-arabic		1
proto-arabicarabia		1
non-central		1
oases		1
inscriptional		1
hasaitic		1
isoglosses		1
arabicbeginning		1
nabataeansin		1
transdialectal		1
transcommunal		1
institutionally		1
hijra		1
judeo-christian		1
classicizing		1
iterations		1
higazi		1
higaziin		1
al-ra		1
arabic-writing		1
non-standardized		1
sbawayhis		1
al-kitb		1
informants		1
worldcharles		1
fergusons		1
koines		1
veersteegh		1
bickerton		1
pidginized		1
pidginization		1
msaarabic		1
syntactic		1
grammarians		1
sibawayh		1
lisn		1
msamsa		1
arabicsome		1
followsmsa		1
deletes		1
languagesnotice		1
democracyhowever		1
apoptosis		1
mwt		1
xth		1
palm-leaf		1
stalkcolloquial		1
advertisingthe		1
siculo-arabic		1
arabiceven		1
complexities		1
hamzah		1
speechthe		1
sociolinguistic		1
school-taught		1
filmthe		1
incomprehensibility		1
versionsfrom		1
similarperhaps		1
mashriq		1
baluchi		1
chechen		1
dagestani		1
kutchi		1
saraiki		1
ghoul		1
loofah		1
sherbet		1
sumac		1
kinubi		1
rulesterms		1
taallit		1
mentiq		1
placeholders		1
fulano		1
so-and-so		1
lekin		1
taza		1
tasse		1
betzef		1
galore		1
kabyle		1
leaderin		1
kanurisome		1
qahwah		1
recognizably		1
nadirarabic		1
kitb		1
traderssince		1
arab-inhabited		1
ethiopic		1
kmiy		1
khymia		1
dachez		1
histoire		1
mdecine		1
lantiquit		1
xxe		1
sicle		1
tallandier		1
p251		1
alembic		1
distiller		1
ambix		1
almenichiakon		1
alfred-louis		1
prmare		1
seuil		1
lunivers		1
historique		1
prmares		1
above-cited		1
bookthere		1
maltesethe		1
beirut		1
syrie		1
massignon		1
orientalist		1
damacus		1
massignons		1
afghani		1
zionist		1
lebanonafter		1
re-emphasize		1
egyptianization		1
hieroglyphics		1
salama		1
lutfi		1
sayid		1
azmi		1
abd		1
al-aziz		1
fahmi		1
shrivtiel		1
societiesthe		1
readerthe		1
rhymes		1
commonthe		1
deafness		1
unbelief		1
mutazz		1
opoets		1
badr		1
shakir		1
sayyab		1
pauses		1
waysalthough		1
suras		1
elongations		1
harmonious		1
recited		1
connectionthe		1
clear-cut		1
al-khattabi		1
meaningafter		1
memorized		1
recitations		1
lordwhile		1
baqillani		1
poetrys		1
holdsclassical		1
mizrahi		1
druze		1
mandaeans		1
recite		1
textsome		1
monogenesis		1
triconsonantal		1
babelcolloquial		1
understudiedwithin		1
non-egyptian		1
mediaone		1
differentiation		1
aku		1
kayn		1
yakn		1
fhi		1
differenttranscription		1
koineof		1
lenited		1
palatalized		1
phonologylocal		1
alveolar		1
laterality		1
mehri		1
languagesother		1
glottalized		1
proto-semiticreduction		1
third-weak		1
muhammed		1
monophthongs		1
arabican		1
maqrah		1
high-vowel		1
native-like		1
extemporaneously		1
non-classical		1
formality		1
interviewee		1
worldalthough		1
insteadanother		1
moderate-distance		1
msamodern		1
pharyngeal		1
similarin		1
non-emphatic		1
situationsthe		1
allophonic		1
sudanese		1
yemeni		1
diacriticized		1
post-velar		1
uvularin		1
epiglottal		1
qe		1
allah		1
unvelarized		1
bismi		1
l–lh		1
velarize		1
mehriarabic		1
phonologists		1
geminate		1
dd		1
kissedarabic		1
cvvand		1
cvv		1
vowelsin		1
happensword		1
areexamples		1
fem		1
placethese		1
pronunciationthe		1
-huhisome		1
sanaa		1
two-syllable		1
stressedthe		1
existthis		1
utterance		1
extemporaneous		1
short-vowel		1
specificallyas		1
pharyngealizing		1
respectivelyunstressed		1
short-long		1
half-long		1
monophthongized		1
truffle		1
onearly		1
plosives		1
affricate		1
notas		1
root-and-pattern		1
subpattern		1
usedfrom		1
patternsnouns		1
[also		1
preposition]		1
genders		1
genitivethe		1
-n		1
case-marking		1
-un		1
-an		1
-in		1
tanwnadjectives		1
suffixpronouns		1
enclitics		1
preposition		1
-ni		1
-ya		1
vowelsnouns		1
verb-initial		1
chiasmic		1
versaverbs		1
conjugated		1
jussive		1
infinitivethe		1
perfective		1
imperfective		1
suffixal		1
morpheme		1
personnumbergender		1
stemthe		1
usedlike		1
wordsfor		1
encode		1
causative		1
reflexive		1
semantically		1
conjugational		1
systemexamples		1
defectsform		1
denominative		1
intransitive		1
denominativesthe		1
gerund		1
work-related		1
lexicalized		1
ma-		1
cookthe		1
bi-		1
passivethe		1
arabicthe		1
alphabetin		1
qaf		1
numeralshowever		1
zaouias		1
latin-written		1
geez		1
naskh		1
ruqah		1
handwritingafter		1
khalil		1
farahidi		1
decorationarabic		1
calligraphers		1
proverb		1
massoudyin		1
intrinsically		1
typographic		1
calligraphythere		1
phonetics		1
definiteness		1
ambiguities		1
gashouse		1
ala-lc		1
solves		1
ashal		1
easierduring		1
western-invented		1
irc		1
transliterating		1
arabicto		1
lowest-valued		1
vierundzwanzig		1
eloquently		1
seventyacademy		1
language-regulation		1
manuscriptsarabic		1
countrieshistorically		1
hayyan		1
al-gharnati		1
inferiorin		1
yasir		1
suleiman		1
feigning		1
perversely		1
mlange		1
practises		1
arab-american		1
franck		1
salamah		1
lamenting		1
itnotesbibliography		1
litof		1
dehlavi		1
pluricentric		1
africaearly		1
7th–13th		1
1526although		1
timurid		1
gurkn		1
babur		1
patronisation		1
turko-afghan		1
dynastiesin		1
kharibolifor		1
urdu-e		1
moalla		1
horde		1
mixedas		1
agrajohn		1
hurst		1
moughal		1
philologists		1
musalman		1
100,000,000		1
peoplewhen		1
urdualthough		1
prakritic		1
persianarabic		1
influencethe		1
arabicisedpersianised		1
urduthis		1
subtleties		1
differentstandard		1
bahmani		1
khutab		1
adil		1
conceive		1
sanskrit-based		1
othersurdu		1
populationsin		1
pakistanamir		1
dahlavi		1
sufis		1
promulgating		1
hindoostanee		1
urdugrierson		1
werewe		1
followshindstn		1
doab		1
purism		1
urd		1
characterhindi		1
rjabhsh		1
3431		1
himachal		1
haryana		1
uts		1
chandigarh		1
intensiveness		1
variesurdu		1
learnt		1
saaf		1
shuddha		1
francahindustani		1
sub-committee		1
hindustanihowever		1
assemblybesides		1
easthindustani		1
anglo-indians		1
anglo-burmese		1
rulehindustani		1
yearshindustani		1
originhistorically		1
alphabets		1
brahmic		1
urdutoday		1
scripthowever		1
alphabetbecause		1
wellfollowing		1
maximisednastaliq		1
iasttranscription		1
grammaticaldevanagari		1
ala-lctranscription		1
grammaticalthe		1
awadhi		1
rajasthani		1
bhojpuri		1
braj		1
bhasha		1
bambaiya		1
lyricsmovie		1
vocabularythe		1
lately		1
islamabad		1
endonym		1
scriptthe		1
persis		1
persophonethere		1
regionspersian		1
bahrani		1
iranwith		1
ferdowsi		1
rumi		1
rubaiyat		1
khayyam		1
panj		1
ganj		1
nizami		1
ganjavi		1
divn		1
hafez		1
miscellanea		1
saadi		1
shirazi		1
gulistan		1
bustanpersian		1
gilaki		1
mazanderani		1
talysh		1
balochi		1
lari		1
kumzari		1
luriin		1
namespersian		1
hellenized		1
frsi		1
prsi		1
prs		1
authorsin		1
parsi		1
parsee		1
zoroastrians		1
ehsan		1
yarshater		1
iranica		1
kamran		1
talattof		1
articlesthe		1
language-encoding		1
639-1		1
639-3		1
fas		1
persiancurrently		1
languagewestern		1
languagesold		1
cuneiformpahlavi		1
manichaean		1
400–300		1
post-sassanid		1
dayaccording		1
philological		1
periodsas		1
behistun		1
gherla		1
textsxenophon		1
persiansthe		1
declension		1
ezfe		1
ye		1
systemalthough		1
224–651		1
middle-period		1
zoroastrianismthe		1
parsig		1
pars		1
parsa		1
sassanids		1
arsacids		1
al-muqaffa		1
al-farisiyah		1
dategernot		1
persiannew		1
stagesearly		1
stablenew		1
abbasids		1
bactria		1
sassanian		1
khorasan		1
transoxiana		1
amu		1
princely		1
tahirid		1
820–872		1
saffarid		1
860–903		1
samanid		1
874–999		1
expressionabbas		1
merv		1
minstrel		1
hanzala		1
badghisi		1
persian-speakers		1
rudaki		1
versified		1
kalila		1
dimnathe		1
trans-regional		1
persianclassical		1
centuriespersian		1
buyids		1
tahirids		1
ziyarids		1
timurids		1
ghaznavids		1
seljuqs		1
khwarazmians		1
shirvanshahs		1
safavids		1
afsharids		1
zands		1
qajars		1
nizam		1
chinadespite		1
seljuks		1
safavid		1
opposer		1
idris		1
bidlisis		1
hasht		1
bihisht		1
1502		1
salim-namah		1
glorification		1
88%the		1
turko-persian		1
ghaznavid		1
turco-mongol		1
zoroastrian		1
iranis		1
16th-18th		1
dialectin		1
persianthere		1
neologisms		1
equivalentsthere		1
persianall		1
hazaragi		1
herati		1
darwazi		1
tehrani		1
intelligibilitythe		1
dialectsiranian		1
consonantshistorically		1
zd		1
zr		1
brighthowever		1
persianaccording		1
samareh		1
pisowicz		1
najafi		1
bimoraic		1
monomoraicthere		1
toosarvandani		1
reciters		1
classic-style		1
tajiksuffixes		1
gendernormal		1
declarative		1
vpersian		1
agglutination		1
compounding–		1
germanwhile		1
itselfjohn		1
emirs		1
qoshin		1
sarlakar		1
darybn		1
vocabularies		1
tatar		1
turkmen		1
azeri		1
karachay-balkar		1
avar		1
lezgin		1
brahui		1
serbo-croatian		1
bosnia		1
herzegovinause		1
merci		1
persian-arabic		1
motakker		1
seps-gozr		1
amthe		1
alphabetmodern		1
dndapirak		1
dabireliterally		1
persianin		1
generosity		1
chrome		1
vocalization		1
harakat		1
ammah		1
dictionariesthere		1
alphabethistorically		1
-sound		1
zan		1
zbn		1
hamzas		1
marbuta		1
heh		1
233-3		1
documentation–		1
characters–		1
language–		1
useanother		1
1930sfingilish		1
cellphonesthe		1
glssa		1
koin		1
classicsduring		1
diasporagreek		1
vocabularygreek		1
messenia		1
periodsin		1
purified		1
orthographic		1
demotic		1
12-century		1
englishgreek		1
greek-speaking		1
othersgreek		1
dropull		1
himara		1
periodisations		1
itacross		1
onsets		1
detailsin		1
synthetically-formed		1
tenses		1
optative		1
formspronouns		1
neuter		1
attributive		1
predicative		1
nounthe		1
formany		1
clause-initial		1
participial		1
restrictively		1
verb-final		1
vso		1
svogreek		1
proto-greeks		1
non-indo-european		1
inflectedgreek		1
coinages		1
isomer		1
biomechanics		1
cinematography		1
–logy		1
origingreek		1
graeco-phrygian		1
phrygian		1
indo-europeanists		1
graeco-armenian		1
graeco-aryan		1
sub-branch		1
languageslinear		1
ventris		1
chadwick		1
greekanother		1
cypro-minoan		1
alphabetgreek		1
upper-case		1
quillthe		1
majuscule		1
word-initial		1
handwriting		1
typographyafter		1
greekin		1
ano		1
teleia		1
thatancient		1
scriptio		1
boundariesgreek		1
ambit		1
chiot		1
alludes		1
chios		1
greeklish		1
communicationsproto-greekmycenaeanancientkoinemedievalmodern		1
tupheus		1
tuphan		1
tuphs		1
monsterstyphon		1
ischiatyphon		1
giantsaccording		1
giantsnumerous		1
earth-born		1
slapped		1
bane		1
mortalsseveral		1
kzkalesi		1
dweller		1
ciliciathe		1
slanders		1
semen		1
buries		1
himaccording		1
outrageous		1
noisestrength		1
untiring		1
flickering		1
brows		1
glared		1
uttered		1
unspeakable		1
bellowing		1
whelps		1
re-echoedthe		1
pindars		1
chalcidian		1
hydria		1
540–530		1
thighsapollodorus		1
eyesin		1
prodigious		1
out-topped		1
unkempt		1
cheeks		1
eyesthe		1
tangled		1
poison-spitting		1
belched		1
viper-poison		1
spat		1
showered		1
bristles		1
water-snakes		1
spitting		1
poisonfollowing		1
untotaled		1
leopards		1
beasts		1
hundredaccording		1
half-woman		1
two-headed		1
geryon		1
multiheaded		1
lernaean		1
many-headed		1
snake-headed		1
fatherwhile		1
acusilaus		1
hesperides		1
lasus		1
hermione		1
sphinxlater		1
nemean		1
crommyonian		1
unmentioned		1
hesiodhyginus		1
colchian		1
scylla		1
harpies		1
thaumas		1
oceanid		1
typhonthe		1
laocon		1
progeny		1
echidnaaccording		1
windstyphon		1
immortals		1
thundered		1
mightily		1
resounded		1
terribly		1
nether		1
reeled		1
thereat		1
dark-blue		1
scorching		1
seethed		1
deathless		1
trembled		1
clamor		1
strifezeus		1
crashso		1
lurid		1
leaped		1
maimed		1
firedefeated		1
zeusepimenides		1
awakes		1
unsleeping		1
boltaccording		1
flees		1
fifth-century		1
serbonis		1
egyptlike		1
fawn		1
mousethe		1
gediz		1
phrygia		1
tmolus		1
bozda		1
lydiain		1
kindled		1
hissings		1
spouting		1
pelted		1
adamantine		1
twining		1
haemus		1
himoppian		1
tricking		1
thunderboltsthe		1
seduce		1
plouto		1
clambering		1
wield		1
unmannednow		1
somehow		1
devises		1
beguile		1
desguised		1
enchants		1
panpipes		1
entrusting		1
thuderbolts		1
retrieves		1
bewitching		1
charmwith		1
unleashes		1
devoured		1
wastethe		1
unchallenged		1
waits		1
reproaches		1
roars		1
sceptre		1
quench		1
taunts		1
sicilys		1
cenotaph		1
upmost		1
phlegraean		1
earthquakesthough		1
falland		1
firethe		1
pindarson		1
wind-swept		1
andamong		1
sea-girt		1
shaggy		1
inmost		1
belch		1
purest		1
unapproachable		1
hurls		1
goads		1
itthus		1
vesuvius		1
ischiamany		1
charred		1
pelorus		1
pachynus		1
lilybaeus		1
vomits		1
valerius		1
flaccus		1
silius		1
italicus		1
claudian		1
inarime		1
forthin		1
hundred-hander		1
briareus		1
asteropus		1
cyclopestyphons		1
typhaonium		1
boeotian		1
exhaltations		1
firehomer		1
bed]		1
lashes		1
debatestrabo		1
arimoipindar		1
callisthenes		1
calycadnus		1
sarpedon		1
promomtory		1
bloodstained		1
ciliciajust		1
issus		1
posidonius		1
aramaeans		1
syriaalternatively		1
xanthus		1
arimus		1
acropolis		1
demetrius		1
scepsis		1
3rd-century		1
regionanother		1
monkeystyphons		1
centurythough		1
wind-god		1
tuphon		1
tuphos		1
sapn		1
baals		1
sapnthe		1
castrated		1
swaddling		1
adversary		1
secures		1
apportionment		1
successiontyphons		1
parentage		1
pythonalthough		1
delphic		1
drakaina		1
foster-mother		1
typhonone		1
mateshare		1
half-maid		1
ciliciapython		1
parnassus		1
corcian		1
echidnas		1
delphynes		1
apollofrom		1
monster-slaying		1
mythsthree		1
second-millennium		1
tiamatlugal-e		1
late-third-millennium		1
mesopotamian		1
hero-god		1
ki		1
ninurtathe		1
lash		1
thundeboltsthe		1
second-millenium		1
babylonian-akkadian		1
enma		1
fearsome		1
pythian		1
dragoness		1
brood		1
monsterslike		1
typhonfrom		1
sapon		1
thirteenth-century		1
sapons		1
sapuna		1
expeller		1
slaying		1
ltn		1
litanlotan		1
leviathanfrom		1
tarhuntas		1
illuyankas		1
inara		1
illuyankathese		1
trickery		1
nonnusanother		1
hittites		1
hazzi		1
sea-serpent		1
sauska		1
inaru		1
seduces		1
titanomachy		1
rulefrom		1
hecataeus		1
animal-shaped		1
herodutus		1
serbonian		1
bardawil		1
egypttyphon		1
snake-footed		1
volcanoswhile		1
porphyrion		1
gigantomachy		1
astrologer		1
manilius		1
4th-century		1
5th-century		1
myth-making		1
itselfgreek		1
themesgreek		1
representational		1
vase-paintings		1
votive		1
heroines		1
oral-poetic		1
sacrificial		1
tragedians		1
plutarch		1
pausaniasarchaeological		1
900–800		1
rootsmythical		1
pseudo-apollodorus		1
180–125		1
pseudo-apollodorusamong		1
folktales		1
etiological		1
godslyrical		1
allusive		1
bacchylides		1
simonides		1
bucolic		1
theocritus		1
bion		1
frogshistorians		1
siculus		1
pausanias		1
cultic		1
ofprose		1
apuleius		1
petronius		1
lollianus		1
heliodorus		1
non-poetical		1
pseudo-hyginus		1
imagines		1
callistratusfinally		1
arnobius		1
hesychius		1
suda		1
tzetzes		1
eustathius		1
moralizing		1
schliemann		1
identifiedgeometric		1
750–c		1
480–323		1
323–146		1
cuthbertson		1
arguedthe		1
animism		1
insignificanceafter		1
pedagogic		1
pederasty		1
paidikos		1
eromenos		1
pederastic		1
mythographers		1
re-adapted		1
fashionthe		1
story-cycles		1
unfolds		1
self-contradictions		1
discerned		1
divine-focused		1
chthonic		1
agesmyths		1
erebus		1
titanssix		1
coeus		1
crius		1
hyperion		1
mnemosyne		1
phoebe		1
themis		1
one-eyed		1
hecatonchires		1
hundred-handed		1
wily		1
gaias		1
castrate		1
sister-wife		1
father-against-son		1
babys		1
drugged		1
rheas		1
cronuss		1
tartaruszeus		1
headfully-grown		1
genrethe		1
mythosand		1
imputed		1
invocation		1
musaeus		1
epimenides		1
abaris		1
seers		1
purifications		1
mystery-rites		1
allusions		1
publicimages		1
neoplatonist		1
derveni		1
theogonic-cosmogonic		1
existencethe		1
cosmologists		1
charioteer		1
fissures		1
themesaccording		1
classical-era		1
satyr-god		1
nymphs		1
naiads		1
dwelled		1
dryads		1
nereids		1
satyrs		1
erinyes		1
furies		1
blood-relatives		1
thirty-three		1
nagy		1
preludes		1
godthe		1
corporeal		1
anthropomorphism		1
abstractions		1
unfading		1
veinseach		1
epithets		1
musagetes		1
greecemost		1
hestia		1
demi-gods		1
godsbridging		1
ovids		1
thematic		1
punishmenttales		1
incest		1
consenting		1
divinity		1
anchises		1
aeneasthe		1
subjectsrevealing		1
lycaon		1
triptolemus		1
marsyas		1
aulos		1
lycurgus		1
afterlife		1
aeschylean		1
bacchae		1
pentheus		1
disrespected		1
maenads		1
godin		1
folktale-motif		1
doso		1
eleusis		1
attica		1
demophon		1
metanira		1
screamed		1
fright		1
ritualthe		1
dowden		1
generationsafter		1
sacral		1
argonautic		1
warsome		1
chieftain-vassal		1
allegory		1
alcmene		1
granddaughter		1
folk-tale		1
sacrificer		1
voracious		1
eater		1
thalia		1
papadopoulou		1
euripidean		1
vase		1
timesheracles		1
mehercule		1
herakleis		1
dangerheracles		1
